visit_id,port,port_phone_no,port_email,docking_places,date_of_arrival,length_of_stay,charter_id,start_date,duration,yacht_name,type,model,cost,berths,homeport,customer_id,name,email,nationality,phoneno
V155,Palma,+3494955320,,74,2018-08-27 00:00:00,1,CH-044 ,2018-07-29 00:00:00,35,Windsong,Catamaran,MacGregor 26X,1352.9,7,Dénia,D13-306,William Holden,billyho66@yahoo.com,Irish,+38198322843
V156,Athens,+3014936640,paays7@athensport.gr,106,2018-08-29 00:00:00,2,CH-026 ,2018-08-25 00:00:00,14,Escape,Monohull,Beneteau 373,3016.34,10,Kusadasi,D13-51 ,Ingrid Bergman,IngridB@hotmail.com,Swedish,02890123456
V157,Izmir,009062602105,,93,2018-09-05 00:00:00,1,CH-026 ,2018-08-25 00:00:00,14,Escape,Monohull,Beneteau 373,3016.34,10,Kusadasi,D13-51 ,Ingrid Bergman,IngridB@hotmail.com,Swedish,02890123456
V158,Barcelona,+34(0)8892436767,harbourmaster@barcelona_marina.com,211,2018-09-06 00:00:00,0,CH-042 ,2018-09-06 00:00:00,15,Wind Dancer,Monohull,Jeanneau 42 DS,892.4,4,Barcelona,D14-38 ,Katharine Hepburn,kath_hep29@hotmail.com,Irish,00447880708090
V159,Dénia,+90229453883,denia_port@denia_port.com,31,2018-09-06 00:00:00,1,CH-045 ,2018-09-06 00:00:00,21,Windsong,Catamaran,MacGregor 26X,1352.9,7,Dénia,D13-203,Cary Grant,bigcary@yahoo.com,British,+44417654321
V160,Magaluf,,maghar@maghar.com,88,2018-09-08 00:00:00,1,CH-042 ,2018-09-06 00:00:00,15,Wind Dancer,Monohull,Jeanneau 42 DS,892.4,4,Barcelona,D14-38 ,Katharine Hepburn,kath_hep29@hotmail.com,Irish,00447880708090
V161,Cartagena,+34(0)62045005,,21,2018-09-10 00:00:00,2,CH-042 ,2018-09-06 00:00:00,15,Wind Dancer,Monohull,Jeanneau 42 DS,892.4,4,Barcelona,D14-38 ,Katharine Hepburn,kath_hep29@hotmail.com,Irish,00447880708090
V162,Barcelona,+34(0)8892436767,harbourmaster@barcelona_marina.com,211,2018-09-12 00:00:00,2,CH-045 ,2018-09-06 00:00:00,21,Windsong,Catamaran,MacGregor 26X,1352.9,7,Dénia,D13-203,Cary Grant,bigcary@yahoo.com,British,+44417654321
V163,Dénia,+90229453883,denia_port@denia_port.com,31,2018-09-15 00:00:00,1,CH-042 ,2018-09-06 00:00:00,15,Wind Dancer,Monohull,Jeanneau 42 DS,892.4,4,Barcelona,D14-38 ,Katharine Hepburn,kath_hep29@hotmail.com,Irish,00447880708090
V164,Montpelier,+33(0)51411947,,79,2018-09-17 00:00:00,2,CH-045 ,2018-09-06 00:00:00,21,Windsong,Catamaran,MacGregor 26X,1352.9,7,Dénia,D13-203,Cary Grant,bigcary@yahoo.com,British,+44417654321
V165,Magaluf,,maghar@maghar.com,88,2018-09-18 00:00:00,1,CH-042 ,2018-09-06 00:00:00,15,Wind Dancer,Monohull,Jeanneau 42 DS,892.4,4,Barcelona,D14-38 ,Katharine Hepburn,kath_hep29@hotmail.com,Irish,00447880708090
V166,Magaluf,,maghar@maghar.com,88,2018-09-23 00:00:00,1,CH-045 ,2018-09-06 00:00:00,21,Windsong,Catamaran,MacGregor 26X,1352.9,7,Dénia,D13-203,Cary Grant,bigcary@yahoo.com,British,+44417654321
